epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.58,0.75801,1.70715,1.08646,0.79782,0.8081,0.85672,0.663,0.79256,0.72475,1.0449,0.00109565,0.000999034,0.000999034
2,582.354,0.74102,0.83627,1.06857,0.81654,0.78692,0.85746,0.6625,0.81221,0.72171,1.05766,0.000980588,0.000980588,0.000980588
3,869.541,0.68904,0.68698,1.02854,0.81761,0.78679,0.85849,0.66094,0.82348,0.71842,1.07455,0.000961176,0.000961176,0.000961176
4,1156.06,0.64133,0.60079,0.99534,0.81482,0.79705,0.86102,0.66635,0.82355,0.68768,1.0769,0.000941765,0.000941765,0.000941765
5,1442.74,0.60231,0.52765,0.96996,0.81375,0.79755,0.85349,0.66428,0.82645,0.69661,1.08528,0.000922353,0.000922353,0.000922353
6,1729.93,0.56909,0.47917,0.94781,0.81928,0.80405,0.85729,0.66541,0.83165,0.68845,1.09597,0.000902941,0.000902941,0.000902941
7,2016.04,0.54068,0.43963,0.92808,0.82814,0.79755,0.85696,0.66926,0.82255,0.67943,1.08338,0.000883529,0.000883529,0.000883529
8,2302.56,0.51935,0.40963,0.91692,0.81735,0.80614,0.86154,0.67148,0.83544,0.68186,1.10215,0.000864118,0.000864118,0.000864118
9,2589.63,0.49857,0.38375,0.90264,0.82907,0.7981,0.85745,0.66882,0.83627,0.6819,1.11225,0.000844706,0.000844706,0.000844706
10,2877.33,0.47705,0.36067,0.89141,0.82195,0.81132,0.86075,0.66967,0.84203,0.6805,1.12041,0.000825294,0.000825294,0.000825294
11,3164.95,0.45999,0.34213,0.87999,0.82333,0.80478,0.85501,0.66498,0.84654,0.68371,1.12189,0.000805882,0.000805882,0.000805882
12,3451.59,0.44275,0.32734,0.87094,0.82752,0.78846,0.84643,0.65846,0.85182,0.70346,1.12993,0.000786471,0.000786471,0.000786471
13,3738.22,0.4272,0.31043,0.86336,0.82582,0.80337,0.85281,0.66702,0.84334,0.6976,1.1288,0.000767059,0.000767059,0.000767059
14,4025.95,0.41192,0.30061,0.85496,0.82731,0.80022,0.84622,0.65741,0.85064,0.70912,1.13656,0.000747647,0.000747647,0.000747647
15,4313.28,0.39833,0.28928,0.8479,0.82669,0.80512,0.85381,0.66643,0.85081,0.70402,1.1385,0.000728235,0.000728235,0.000728235
16,4600.96,0.3844,0.27758,0.84138,0.83514,0.79553,0.85226,0.66559,0.85196,0.70473,1.14437,0.000708824,0.000708824,0.000708824
17,4887.39,0.37166,0.26867,0.83604,0.82694,0.80655,0.85225,0.667,0.85353,0.70019,1.15199,0.000689412,0.000689412,0.000689412
18,5174.15,0.35832,0.25997,0.83017,0.8445,0.79461,0.85463,0.66643,0.85789,0.71113,1.15589,0.00067,0.00067,0.00067
