epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.675,1.12689,1.69546,1.39963,0.44571,0.46311,0.41228,0.24554,1.33915,1.8569,1.53566,0.000547826,0.000499517,0.000499517
2,588.117,1.22468,1.65063,1.49039,0.56713,0.51253,0.53499,0.34196,1.23014,1.48262,1.43824,0.00049505,0.00049505,0.00049505
3,876.748,1.11082,1.42037,1.39507,0.60689,0.54464,0.58594,0.39331,1.17708,1.36276,1.4053,0.0004901,0.0004901,0.0004901
4,1164.13,1.03539,1.25679,1.3326,0.67242,0.58212,0.63587,0.42689,1.13718,1.2053,1.36816,0.00048515,0.00048515,0.00048515
5,1452.03,0.97706,1.13789,1.28681,0.65322,0.58889,0.63523,0.43373,1.1189,1.23563,1.3518,0.0004802,0.0004802,0.0004802
6,1738.35,0.92612,1.05294,1.24406,0.69035,0.61691,0.67699,0.46283,1.0932,1.14676,1.34536,0.00047525,0.00047525,0.00047525
7,2024.73,0.87805,0.96918,1.204,0.69684,0.61424,0.6679,0.4626,1.09437,1.1122,1.33993,0.0004703,0.0004703,0.0004703
8,2311.72,0.83878,0.90178,1.17556,0.70344,0.62988,0.69826,0.48373,1.07979,1.0809,1.34123,0.00046535,0.00046535,0.00046535
9,2598.54,0.80569,0.84883,1.1485,0.72484,0.64575,0.71312,0.4984,1.0731,1.01991,1.33114,0.0004604,0.0004604,0.0004604
10,2886.7,0.77364,0.7891,1.12378,0.75745,0.63677,0.72317,0.50641,1.06644,1.00872,1.32533,0.00045545,0.00045545,0.00045545
11,3173.28,0.74827,0.74749,1.10133,0.72571,0.64738,0.70944,0.49567,1.08095,1.01306,1.32948,0.0004505,0.0004505,0.0004505
12,3459.58,0.72225,0.70695,1.08331,0.75262,0.64335,0.71854,0.50964,1.04596,0.99085,1.31748,0.00044555,0.00044555,0.00044555
13,3746.33,0.69613,0.66582,1.06179,0.73205,0.65927,0.72171,0.51177,1.06639,0.9917,1.32663,0.0004406,0.0004406,0.0004406
14,4033.5,0.6735,0.64144,1.04453,0.74484,0.66047,0.72657,0.51639,1.0585,0.97644,1.34025,0.00043565,0.00043565,0.00043565
15,4320.7,0.65916,0.61443,1.03317,0.72939,0.67047,0.725,0.51583,1.05849,0.98067,1.34341,0.0004307,0.0004307,0.0004307
16,4606.84,0.63538,0.58574,1.01672,0.74219,0.6654,0.73034,0.5175,1.05772,0.95742,1.33633,0.00042575,0.00042575,0.00042575
17,4892.86,0.6166,0.55701,1.00458,0.76535,0.66538,0.73352,0.52816,1.04654,0.95011,1.33717,0.0004208,0.0004208,0.0004208
18,5179.57,0.6035,0.53686,0.99269,0.75617,0.66238,0.73528,0.52638,1.05058,0.93481,1.33315,0.00041585,0.00041585,0.00041585
19,5466.68,0.58263,0.51435,0.97976,0.74651,0.67394,0.72826,0.5214,1.04827,0.94901,1.33899,0.0004109,0.0004109,0.0004109
20,5753.45,0.57205,0.49863,0.97166,0.74625,0.66086,0.72336,0.52038,1.0469,0.94844,1.34302,0.00040595,0.00040595,0.00040595
21,6039.12,0.55859,0.484,0.96213,0.75163,0.6721,0.72688,0.52414,1.04931,0.94421,1.35186,0.000401,0.000401,0.000401
22,6324.65,0.54311,0.46546,0.9529,0.76873,0.66684,0.73591,0.53093,1.04234,0.93083,1.35011,0.00039605,0.00039605,0.00039605
23,6610.71,0.52755,0.44607,0.94126,0.74587,0.68348,0.73553,0.53252,1.04652,0.92645,1.35173,0.0003911,0.0003911,0.0003911
24,6897.89,0.51415,0.43286,0.93338,0.73618,0.68912,0.73704,0.53254,1.04658,0.93704,1.36402,0.00038615,0.00038615,0.00038615
25,7184.1,0.50294,0.41982,0.92449,0.73074,0.68893,0.73071,0.52565,1.04643,0.93712,1.36978,0.0003812,0.0003812,0.0003812
26,7469.84,0.49325,0.4149,0.91877,0.76319,0.6725,0.73109,0.52927,1.0482,0.92915,1.36658,0.00037625,0.00037625,0.00037625
27,7755.91,0.48305,0.40305,0.91238,0.75896,0.69216,0.74406,0.5382,1.04841,0.91574,1.37838,0.0003713,0.0003713,0.0003713
28,8041.18,0.46986,0.39194,0.90406,0.75738,0.68453,0.73967,0.53567,1.05014,0.92757,1.38716,0.00036635,0.00036635,0.00036635
29,8328.25,0.46378,0.37948,0.90081,0.76149,0.68509,0.73991,0.53688,1.04865,0.9317,1.38799,0.0003614,0.0003614,0.0003614
30,8614.67,0.45403,0.37506,0.89503,0.75775,0.68448,0.7383,0.53684,1.05044,0.92842,1.39694,0.00035645,0.00035645,0.00035645
31,8901.81,0.44464,0.36532,0.89063,0.76493,0.68753,0.74512,0.54044,1.0545,0.92744,1.40395,0.0003515,0.0003515,0.0003515
